model,action,turn,proportion,ci_low,ci_high
Claude-3.5-Sonnet,1.A,1,100.0,96.97144856546903,99.99999999999999
Claude-3.5-Sonnet,1.A,2,0.0,0.0,3.0285514345309585
Claude-3.5-Sonnet,1.A,3,0.0,0.0,3.0285514345309585
Claude-3.5-Sonnet,1.A,4,2.4390243902439024,0.8329064364133588,6.92595956228682
Claude-3.5-Sonnet,1.A,5,6.504065040650407,3.332263638022903,12.310459967625977
Claude-3.5-Sonnet,1.A,6,11.38211382113821,6.902284440685466,18.201068293301855
Claude-3.5-Sonnet,1.A,7,10.569105691056912,6.2813124690906195,17.245268743506966
Claude-3.5-Sonnet,1.A,8,17.073170731707318,11.446678691870424,24.69407469184509
Claude-3.5-Sonnet,1.A,9,21.138211382113823,14.853401469282307,29.171209521381908
Claude-3.5-Sonnet,1.A,10,19.51219512195122,13.477390130715017,27.393677817169714
Claude-3.5-Sonnet,1.A,11,18.69918699186992,12.795837432731732,26.498458993763258
Claude-3.5-Sonnet,1.A,12,8.130081300813007,4.475887223989298,14.320379424439068
Claude-3.5-Sonnet,1.A,13,9.75609756097561,5.6692742887536856,16.28053540245416
Claude-3.5-Sonnet,1.A,14,8.94308943089431,5.06709303662006,15.305945133198042
Claude-3.5-Sonnet,1.A,15,13.008130081300814,8.168058029914516,20.088837746852295
Claude-3.5-Sonnet,1.A,16,15.447154471544716,10.11779184387899,22.86941849705704
Claude-3.5-Sonnet,1.A,17,16.260162601626014,10.77956082306545,23.784421039260323
Claude-3.5-Sonnet,1.A,18,11.38211382113821,6.902284440685466,18.201068293301855
Claude-3.5-Sonnet,1.A,19,16.260162601626014,10.77956082306545,23.784421039260323
Claude-3.5-Sonnet,1.A,20,12.195121951219512,7.531417696635251,19.148706558741818
Claude-3.5-Sonnet,1.A,21,8.130081300813007,4.475887223989298,14.320379424439068
Claude-3.5-Sonnet,1.A,22,9.75609756097561,5.6692742887536856,16.28053540245416
Claude-3.5-Sonnet,1.A,23,16.260162601626014,10.77956082306545,23.784421039260323
Claude-3.5-Sonnet,1.A,24,14.634146341463413,9.461697167521521,21.94874165202477
Claude-3.5-Sonnet,1.A,25,10.569105691056912,6.2813124690906195,17.245268743506966
Claude-3.5-Sonnet,1.A,26,10.569105691056912,6.2813124690906195,17.245268743506966
Claude-3.5-Sonnet,1.A,27,16.260162601626014,10.77956082306545,23.784421039260323
Claude-3.5-Sonnet,1.A,28,12.195121951219512,7.531417696635251,19.148706558741818
Claude-3.5-Sonnet,1.A,29,11.38211382113821,6.902284440685466,18.201068293301855
Claude-3.5-Sonnet,1.A,30,12.195121951219512,7.531417696635251,19.148706558741818
gpt-4,1.A,1,14.000000000000002,8.526343659939132,22.13718821096384
gpt-4,1.A,2,11.0,6.254196357064568,18.631296503080318
gpt-4,1.A,3,19.0,12.514751509768734,27.778845379064375
gpt-4,1.A,4,14.000000000000002,8.526343659939132,22.13718821096384
gpt-4,1.A,5,18.0,11.700225498946347,26.667358386300734
gpt-4,1.A,6,16.0,10.09528848880478,24.420269389270246
gpt-4,1.A,7,19.0,12.514751509768734,27.778845379064375
gpt-4,1.A,8,14.000000000000002,8.526343659939132,22.13718821096384
gpt-4,1.A,9,8.0,4.109346148438061,14.998107700948735
gpt-4,1.A,10,17.0,10.89356611405993,25.548004767601128
gpt-4,1.A,11,16.0,10.09528848880478,24.420269389270246
gpt-4,1.A,12,8.0,4.109346148438061,14.998107700948735
gpt-4,1.A,13,9.0,4.807254000256514,16.226212852716312
gpt-4,1.A,14,12.0,6.999406437019489,19.81209942671142
gpt-4,1.A,15,11.0,6.254196357064568,18.631296503080318
gpt-4,1.A,16,9.0,4.807254000256514,16.226212852716312
gpt-4,1.A,17,12.0,6.999406437019489,19.81209942671142
gpt-4,1.A,18,10.0,5.522913706067508,17.43656615049135
gpt-4,1.A,19,8.0,4.109346148438061,14.998107700948735
gpt-4,1.A,20,10.0,5.522913706067508,17.43656615049135
gpt-4,1.A,21,7.000000000000001,3.4319261067272664,13.749514739073504
gpt-4,1.A,22,10.0,5.522913706067508,17.43656615049135
gpt-4,1.A,23,11.0,6.254196357064568,18.631296503080318
gpt-4,1.A,24,10.0,5.522913706067508,17.43656615049135
gpt-4,1.A,25,9.0,4.807254000256514,16.226212852716312
gpt-4,1.A,26,10.0,5.522913706067508,17.43656615049135
gpt-4,1.A,27,7.000000000000001,3.4319261067272664,13.749514739073504
gpt-4,1.A,28,7.000000000000001,3.4319261067272664,13.749514739073504
gpt-4,1.A,29,8.0,4.109346148438061,14.998107700948735
gpt-4,1.A,30,4.0,1.5663303991547604,9.837071435887923
gpt-4o,1.A,1,19.0,12.514751509768734,27.778845379064375
gpt-4o,1.A,2,11.0,6.254196357064568,18.631296503080318
gpt-4o,1.A,3,24.0,16.691325556948776,33.23233634981448
gpt-4o,1.A,4,17.0,10.89356611405993,25.548004767601128
gpt-4o,1.A,5,17.0,10.89356611405993,25.548004767601128
gpt-4o,1.A,6,13.0,7.7571674272405104,20.98035144007643
gpt-4o,1.A,7,7.000000000000001,3.4319261067272664,13.749514739073504
gpt-4o,1.A,8,19.0,12.514751509768734,27.778845379064375
gpt-4o,1.A,9,12.0,6.999406437019489,19.81209942671142
gpt-4o,1.A,10,4.0,1.5663303991547604,9.837071435887923
gpt-4o,1.A,11,10.0,5.522913706067508,17.43656615049135
gpt-4o,1.A,12,5.0,2.1543679154367967,11.175046923191914
gpt-4o,1.A,13,11.0,6.254196357064568,18.631296503080318
gpt-4o,1.A,14,12.0,6.999406437019489,19.81209942671142
gpt-4o,1.A,15,5.0,2.1543679154367967,11.175046923191914
gpt-4o,1.A,16,11.0,6.254196357064568,18.631296503080318
gpt-4o,1.A,17,8.0,4.109346148438061,14.998107700948735
gpt-4o,1.A,18,7.000000000000001,3.4319261067272664,13.749514739073504
gpt-4o,1.A,19,8.0,4.109346148438061,14.998107700948735
gpt-4o,1.A,20,9.0,4.807254000256514,16.226212852716312
gpt-4o,1.A,21,7.000000000000001,3.4319261067272664,13.749514739073504
gpt-4o,1.A,22,8.0,4.109346148438061,14.998107700948735
gpt-4o,1.A,23,12.0,6.999406437019489,19.81209942671142
gpt-4o,1.A,24,8.0,4.109346148438061,14.998107700948735
gpt-4o,1.A,25,8.0,4.109346148438061,14.998107700948735
gpt-4o,1.A,26,9.0,4.807254000256514,16.226212852716312
gpt-4o,1.A,27,4.0,1.5663303991547604,9.837071435887923
gpt-4o,1.A,28,6.0,2.7786123963188176,12.476815445895921
gpt-4o,1.A,29,8.0,4.109346148438061,14.998107700948735
gpt-4o,1.A,30,4.0,1.5663303991547604,9.837071435887923
gpt-4o-mini,1.A,1,38.0,29.097599252478734,47.79024470448893
gpt-4o-mini,1.A,2,37.0,28.18236053432453,46.7794704190571
gpt-4o-mini,1.A,3,13.0,7.7571674272405104,20.98035144007643
gpt-4o-mini,1.A,4,12.0,6.999406437019489,19.81209942671142
gpt-4o-mini,1.A,5,20.0,13.33669333310325,28.88291655931589
gpt-4o-mini,1.A,6,15.0,9.305985283656629,23.28355959083237
gpt-4o-mini,1.A,7,9.0,4.807254000256514,16.226212852716312
gpt-4o-mini,1.A,8,10.0,5.522913706067508,17.43656615049135
gpt-4o-mini,1.A,9,15.0,9.305985283656629,23.28355959083237
gpt-4o-mini,1.A,10,9.0,4.807254000256514,16.226212852716312
gpt-4o-mini,1.A,11,7.000000000000001,3.4319261067272664,13.749514739073504
gpt-4o-mini,1.A,12,9.0,4.807254000256514,16.226212852716312
gpt-4o-mini,1.A,13,5.0,2.1543679154367967,11.175046923191914
gpt-4o-mini,1.A,14,10.0,5.522913706067508,17.43656615049135
gpt-4o-mini,1.A,15,6.0,2.7786123963188176,12.476815445895921
gpt-4o-mini,1.A,16,8.0,4.109346148438061,14.998107700948735
gpt-4o-mini,1.A,17,5.0,2.1543679154367967,11.175046923191914
gpt-4o-mini,1.A,18,6.0,2.7786123963188176,12.476815445895921
gpt-4o-mini,1.A,19,5.0,2.1543679154367967,11.175046923191914
gpt-4o-mini,1.A,20,6.0,2.7786123963188176,12.476815445895921
gpt-4o-mini,1.A,21,6.0,2.7786123963188176,12.476815445895921
gpt-4o-mini,1.A,22,5.0,2.1543679154367967,11.175046923191914
gpt-4o-mini,1.A,23,6.0,2.7786123963188176,12.476815445895921
gpt-4o-mini,1.A,24,7.000000000000001,3.4319261067272664,13.749514739073504
gpt-4o-mini,1.A,25,3.0,1.0254524024038911,8.451936429052763
gpt-4o-mini,1.A,26,10.0,5.522913706067508,17.43656615049135
gpt-4o-mini,1.A,27,6.0,2.7786123963188176,12.476815445895921
gpt-4o-mini,1.A,28,7.000000000000001,3.4319261067272664,13.749514739073504
gpt-4o-mini,1.A,29,6.0,2.7786123963188176,12.476815445895921
gpt-4o-mini,1.A,30,7.000000000000001,3.4319261067272664,13.749514739073504
o1,1.A,1,7.000000000000001,3.4319261067272664,13.749514739073504
o1,1.A,2,7.000000000000001,3.4319261067272664,13.749514739073504
o1,1.A,3,11.0,6.254196357064568,18.631296503080318
o1,1.A,4,16.0,10.09528848880478,24.420269389270246
o1,1.A,5,10.0,5.522913706067508,17.43656615049135
o1,1.A,6,6.0,2.7786123963188176,12.476815445895921
o1,1.A,7,5.0,2.1543679154367967,11.175046923191914
o1,1.A,8,4.0,1.5663303991547604,9.837071435887923
o1,1.A,9,4.0,1.5663303991547604,9.837071435887923
o1,1.A,10,6.0,2.7786123963188176,12.476815445895921
o1,1.A,11,3.0,1.0254524024038911,8.451936429052763
o1,1.A,12,4.0,1.5663303991547604,9.837071435887923
o1,1.A,13,4.0,1.5663303991547604,9.837071435887923
o1,1.A,14,7.000000000000001,3.4319261067272664,13.749514739073504
o1,1.A,15,2.0,0.550196755016235,7.0011790728543914
o1,1.A,16,1.0,0.1767432064140647,5.448619617870533
o1,1.A,17,1.0,0.1767432064140647,5.448619617870533
o1,1.A,18,3.0,1.0254524024038911,8.451936429052763
o1,1.A,19,4.0,1.5663303991547604,9.837071435887923
o1,1.A,20,2.0,0.550196755016235,7.0011790728543914
o1,1.A,21,0.0,0.0,3.6993498206985693
o1,1.A,22,1.0,0.1767432064140647,5.448619617870533
o1,1.A,23,4.0,1.5663303991547604,9.837071435887923
o1,1.A,24,1.0,0.1767432064140647,5.448619617870533
o1,1.A,25,2.0,0.550196755016235,7.0011790728543914
o1,1.A,26,0.0,0.0,3.6993498206985693
o1,1.A,27,2.0,0.550196755016235,7.0011790728543914
