model,action,turn,proportion,ci_low,ci_high
Claude-3.5-Sonnet,1.A,1,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,2,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,3,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,4,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,5,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,6,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,7,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,8,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,9,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,10,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,11,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,12,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,13,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,14,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,15,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,16,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,17,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,18,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,19,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,20,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,21,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,22,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,23,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,24,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,25,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,26,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,27,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,28,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,29,0.0,0.0,0.0
Claude-3.5-Sonnet,1.A,30,0.0,0.0,0.0
gpt-4,1.A,1,100.0,96.30065017930143,100.0
gpt-4,1.A,2,0.0,0.0,3.6993498206985693
gpt-4,1.A,3,3.0,1.0254524024038911,8.451936429052763
gpt-4,1.A,4,7.000000000000001,3.4319261067272664,13.749514739073504
gpt-4,1.A,5,26.0,18.404698464748137,35.370989449187185
gpt-4,1.A,6,16.0,10.09528848880478,24.420269389270246
gpt-4,1.A,7,24.0,16.691325556948776,33.23233634981448
gpt-4,1.A,8,9.0,4.807254000256514,16.226212852716312
gpt-4,1.A,9,23.0,15.843265880303449,32.15438302287378
gpt-4,1.A,10,18.0,11.700225498946347,26.667358386300734
gpt-4,1.A,11,11.0,6.254196357064568,18.631296503080318
gpt-4,1.A,12,11.0,6.254196357064568,18.631296503080318
gpt-4,1.A,13,17.0,10.89356611405993,25.548004767601128
gpt-4,1.A,14,14.000000000000002,8.526343659939132,22.13718821096384
gpt-4,1.A,15,13.0,7.7571674272405104,20.98035144007643
gpt-4,1.A,16,10.0,5.522913706067508,17.43656615049135
gpt-4,1.A,17,14.000000000000002,8.526343659939132,22.13718821096384
gpt-4,1.A,18,12.0,6.999406437019489,19.81209942671142
gpt-4,1.A,19,15.0,9.305985283656629,23.28355959083237
gpt-4,1.A,20,9.0,4.807254000256514,16.226212852716312
gpt-4,1.A,21,18.0,11.700225498946347,26.667358386300734
gpt-4,1.A,22,13.0,7.7571674272405104,20.98035144007643
