model,action,turn,proportion,ci_low,ci_high
Claude-3.5-Sonnet,1.A,1,100.0,96.82107543372666,100.0
Claude-3.5-Sonnet,1.A,2,0.0,0.0,3.1789245662733396
Claude-3.5-Sonnet,1.A,3,0.0,0.0,3.1789245662733396
Claude-3.5-Sonnet,1.A,4,1.7094017094017095,0.4700382604581551,6.019008542865668
Claude-3.5-Sonnet,1.A,5,5.982905982905983,2.9280474751382157,11.836304920811818
Claude-3.5-Sonnet,1.A,6,2.564102564102564,0.8758055703820156,7.26830235146705
Claude-3.5-Sonnet,1.A,7,18.803418803418804,12.758198294157502,26.832070879671164
Claude-3.5-Sonnet,1.A,8,21.367521367521366,14.912934017667798,29.642518511736593
Claude-3.5-Sonnet,1.A,9,29.914529914529915,22.364247624232668,38.741816090424145
Claude-3.5-Sonnet,1.A,10,20.51282051282051,14.189945306384221,28.71044610449493
Claude-3.5-Sonnet,1.A,11,5.982905982905983,2.9280474751382157,11.836304920811818
Claude-3.5-Sonnet,1.A,12,7.6923076923076925,4.099517079890566,13.974957553109954
Claude-3.5-Sonnet,1.A,13,16.23931623931624,10.649805976106341,23.975279842146602
Claude-3.5-Sonnet,1.A,14,18.803418803418804,12.758198294157502,26.832070879671164
Claude-3.5-Sonnet,1.A,15,21.367521367521366,14.912934017667798,29.642518511736593
Claude-3.5-Sonnet,1.A,16,17.094017094017094,11.347000899851464,24.933146036926722
Claude-3.5-Sonnet,1.A,17,11.965811965811966,7.263149376675574,19.086630848951156
Claude-3.5-Sonnet,1.A,18,11.965811965811966,7.263149376675574,19.086630848951156
Claude-3.5-Sonnet,1.A,19,13.675213675213676,8.596097046894222,21.063805415782998
Claude-3.5-Sonnet,1.A,20,17.94871794871795,12.04989935741263,25.885308697890796
Claude-3.5-Sonnet,1.A,21,22.22222222222222,15.640397459756144,30.57011618817349
Claude-3.5-Sonnet,1.A,22,16.23931623931624,10.649805976106341,23.975279842146602
Claude-3.5-Sonnet,1.A,23,12.82051282051282,7.925637599438604,20.079203744713368
Claude-3.5-Sonnet,1.A,24,13.675213675213676,8.596097046894222,21.063805415782998
Claude-3.5-Sonnet,1.A,25,19.65811965811966,13.471627573039044,27.773702719314862
Claude-3.5-Sonnet,1.A,26,14.529914529914532,9.273939280804754,22.041024300397705
Claude-3.5-Sonnet,1.A,27,16.23931623931624,10.649805976106341,23.975279842146602
Claude-3.5-Sonnet,1.A,28,17.94871794871795,12.04989935741263,25.885308697890796
Claude-3.5-Sonnet,1.A,29,12.82051282051282,7.925637599438604,20.079203744713368
Claude-3.5-Sonnet,1.A,30,15.384615384615385,9.958656287229516,23.011368412498186
gpt-4,1.A,1,100.0,96.30065017930143,100.0
gpt-4,1.A,2,2.0,0.550196755016235,7.0011790728543914
gpt-4,1.A,3,1.0,0.1767432064140647,5.448619617870533
gpt-4,1.A,4,0.0,0.0,3.6993498206985693
gpt-4,1.A,5,8.0,4.109346148438061,14.998107700948735
gpt-4,1.A,6,7.000000000000001,3.4319261067272664,13.749514739073504
gpt-4,1.A,7,3.0,1.0254524024038911,8.451936429052763
gpt-4,1.A,8,4.0,1.5663303991547604,9.837071435887923
gpt-4,1.A,9,7.000000000000001,3.4319261067272664,13.749514739073504
gpt-4,1.A,10,7.000000000000001,3.4319261067272664,13.749514739073504
gpt-4,1.A,11,4.0,1.5663303991547604,9.837071435887923
gpt-4,1.A,12,3.0,1.0254524024038911,8.451936429052763
gpt-4,1.A,13,3.0,1.0254524024038911,8.451936429052763
gpt-4,1.A,14,5.0,2.1543679154367967,11.175046923191914
