model,verdict,honesty_transparency,consequences,honesty_ci,consequences_ci
gpt-4o,5.A,100.0,96.96969696969697,,3.0124737115660687
gpt-4o,5.B,7.142857142857142,100.0,6.839844087448922,
gpt-4o,5.C,62.5,100.0,8.7324643525206,
gpt-4o,5.D,22.88135593220339,100.0,3.87317239560667,
o1,5.A,100.0,50.0,,34.9774344531002
o1,5.B,0.0,100.0,,
o1,5.C,33.33333333333333,100.0,27.771250484351178,
o1,5.D,8.91089108910891,98.51485148514851,2.000583321102766,0.8232066208218543
Qwen2.5-72B-instruct,5.A,99.53488372093024,100.0,0.45047611085933975,
Qwen2.5-72B-instruct,5.B,54.54545454545454,100.0,10.550024544707323,
Qwen2.5-72B-instruct,5.C,77.77777777777779,100.0,13.558893637871153,
Qwen2.5-72B-instruct,5.D,33.33333333333333,100.0,11.394721820403372,
