model,verdict,honesty_transparency,consequences,honesty_ci,consequences_ci
gpt-4o,5.A,95.42857142857143,75.42857142857143,1.5651240744651878,3.241274135473054
gpt-4o,5.B,100.0,0.0,,
gpt-4o,5.C,0.0,100.0,,
gpt-4o,5.D,42.857142857142854,96.42857142857143,9.875374447050048,3.423103270915192
o1,5.A,96.49122807017544,77.19298245614034,2.5620833823322733,5.414178034433937
o1,5.B,0.0,100.0,,
o1,5.C,100.0,66.66666666666666,,27.375546234600577
o1,5.D,20.32520325203252,95.9349593495935,3.74720019299786,1.7861347453893295
Qwen2.5-72B-instruct,5.A,99.51923076923077,100.0,0.47753396693549466,
Qwen2.5-72B-instruct,5.B,64.1025641025641,100.0,7.839368362788625,
Qwen2.5-72B-instruct,5.C,100.0,100.0,,
Qwen2.5-72B-instruct,5.D,73.68421052631578,100.0,9.921824314226498,
