model,verdict,honesty_transparency,consequences,honesty_ci,consequences_ci
gpt-4o,5.A,96.25,97.5,1.4822265120193108,1.2141014791922367
gpt-4o,5.B,14.285714285714285,100.0,13.161825169978151,
gpt-4o,5.C,33.33333333333333,100.0,18.5892667584387,
gpt-4o,5.D,15.384615384615385,100.0,7.124828027189188,
o1,5.A,90.9090909090909,76.36363636363637,2.773302825862304,4.040173758111311
o1,5.B,0.0,100.0,,
o1,5.C,,,,
o1,5.D,22.727272727272727,92.42424242424242,5.194691077812646,3.265211345579657
Qwen2.5-72B-instruct,5.A,100.0,100.0,,
Qwen2.5-72B-instruct,5.B,75.0,100.0,14.78655592036178,
Qwen2.5-72B-instruct,5.C,,,,
Qwen2.5-72B-instruct,5.D,0.0,100.0,,
