goal,action,action_abbr,proportion_mean,ci_low,ci_high
approaching,1.A,Data Collection,16.105205256303126,15.24962579850959,16.95892988637124
approaching,2.A,Microbial Vaccines,12.645081369349972,11.766210987270963,13.532450167423027
approaching,2.B,Plant Gene Extracts,8.268774584116734,7.695792815410663,8.844671534046805
approaching,2.C,Anim. Gene Extracts,8.985549561231055,8.2055408175835,9.771735899336328
approaching,2.D,Human Gene Editing,1.5009447940175906,0.8618379094838767,2.233821584953764
approaching,3.A,Req. for Experiment,0.4534666464677069,0.22505007658772241,0.7278358497870692
approaching,3.B,Req. for H.G.E,10.496093938798698,9.015807040893204,11.914339209686897
approaching,3.C,Req. for Assistance,7.7281916349972,6.9721963055640765,8.490658177080183
approaching,3.D,Chat w/ other RSRs.,9.530087404284274,8.781023577447305,10.24468304018472
approaching,4.A,Meth. Analysis Low,1.862527716186253,1.2193274205469329,2.6338383838383828
approaching,4.B,Meth. Analysis Med.,11.517440611149675,10.762630660362008,12.333724755327813
approaching,4.C,Meth. Analysis High,10.906636483097715,10.138778135809279,11.692755211199946
avoidance,1.A,Data Collection,17.25755725755726,16.646251896251908,17.891737891737886
avoidance,2.A,Microbial Vaccines,13.077293077293076,12.17366892366892,13.98897398897399
avoidance,2.B,Plant Gene Extracts,7.583465916799251,6.937682687682685,8.239138947472282
avoidance,2.C,Anim. Gene Extracts,9.397331063997731,8.569587819587817,10.294483294483298
avoidance,2.D,Human Gene Editing,0.3754887088220421,0.09496676163342829,0.7523417940084605
avoidance,3.A,Req. for Experiment,0.48433048433048437,0.2279202279202279,0.7977207977207978
avoidance,3.B,Req. for H.G.E,12.515324181990847,11.464441422774756,13.508654925321592
avoidance,3.C,Req. for Assistance,8.990330656997324,8.361790986790984,9.610992402659068
avoidance,3.D,Chat w/ other RSRs.,6.842355175688509,6.253561253561252,7.455009496676163
avoidance,4.A,Meth. Analysis Low,1.1965811965811968,0.8262108262108259,1.5954415954415948
avoidance,4.B,Meth. Analysis Med.,11.610056610056612,10.753898878898879,12.515415140415143
avoidance,4.C,Meth. Analysis High,10.66988566988567,9.913082288082292,11.376142376142374
