goal,action,action_abbr,proportion_mean,ci_low,ci_high
approaching,1.A,Data Collection,13.709906151353518,10.775158360766909,17.090534805107172
approaching,2.A,Microbial Vaccines,13.092346444978023,10.638125712007291,15.598269505835297
approaching,2.B,Plant Gene Extracts,19.161633639265215,15.623629800389663,23.24578937935846
approaching,2.C,Anim. Gene Extracts,8.847957963089542,6.383393023277892,11.547518844459631
approaching,2.D,Human Gene Editing,11.98035339416918,8.646815476190477,15.662652979939159
approaching,3.A,Req. for Experiment,1.704120879120879,0.7630952380952379,3.0089858058608057
approaching,3.B,Req. for H.G.E,1.103373015873016,0.6056101190476194,1.667757936507936
approaching,3.C,Req. for Assistance,4.862389267652426,3.3489616882873463,6.681182027645841
approaching,3.D,Chat w/ other RSRs.,2.092002442002442,1.0491239316239316,3.4649603174603176
approaching,4.A,Meth. Analysis Low,2.500717800717801,1.4900567256817259,3.714477929477927
approaching,4.B,Meth. Analysis Med.,10.548986515433883,8.755400078722449,12.544737960017567
approaching,4.C,Meth. Analysis High,10.396212486344066,8.219167309298888,12.675747608872607
avoidance,1.A,Data Collection,25.98078977403247,21.474354715059047,30.714236312397478
avoidance,2.A,Microbial Vaccines,15.076217291007303,11.695856679829374,19.026554464076252
avoidance,2.B,Plant Gene Extracts,10.422773284830761,8.263859811355944,12.628763490996548
avoidance,2.C,Anim. Gene Extracts,8.340290030335796,6.078287702953035,10.723780956838738
avoidance,2.D,Human Gene Editing,8.324207613502942,6.497296443591708,10.332645539955575
avoidance,3.A,Req. for Experiment,1.5042923435876725,0.8657123137496505,2.2946933125036666
avoidance,3.B,Req. for H.G.E,2.1149288890068267,1.2719469015676446,3.134125281382566
avoidance,3.C,Req. for Assistance,5.941067102831808,4.2660191850633025,7.743822215366334
avoidance,3.D,Chat w/ other RSRs.,1.6253357753357753,0.8906814713064715,2.4806845238095234
avoidance,4.A,Meth. Analysis Low,2.894444444444444,1.4331944444444442,4.644444444444445
avoidance,4.B,Meth. Analysis Med.,8.801989864505007,6.9654127961559995,10.856291267539161
avoidance,4.C,Meth. Analysis High,8.973663586579189,6.621452018191148,11.432794566544564
