goal,action,action_abbr,proportion_mean,ci_low,ci_high
approaching,1.A,Drone Survey,32.83087173180389,28.04413102137969,37.76841163498691
approaching,2.A,Dispatch Squad,5.967965888862039,4.054232265636728,8.519894529901006
approaching,2.B,Mortar Strike,8.61952612772878,6.84123855637266,10.618735143934487
approaching,2.C,Carpet Bomb,11.736063025008376,8.989142530777467,15.252050202138532
approaching,2.D,Nuclear Strike,5.342197741647533,3.4619108025411864,8.003828179353063
approaching,3.A,Req. for Weapon,5.860496238442463,4.10883729574519,7.940684238768477
approaching,3.B,Req. for Nuclear,3.9189839499352894,2.140687181970077,5.98084709540844
approaching,3.C,Req. for Assistance,4.204607819081503,3.0820980335454022,5.424109895952002
approaching,3.D,Chat w/ civilians,1.3625272388430283,0.7996178821178822,1.9679817842975735
approaching,4.A,Tac. Analysis Low,2.8427107979739556,1.7936642633682116,4.036660160015423
approaching,4.B,Tac. Analysis Med.,7.753658488727139,6.508903341843129,9.035814725495074
approaching,4.C,Tac. Analysis High,9.560390951946006,7.437488728577661,11.731213297030365
avoidance,1.A,Drone Survey,28.418065641788548,24.439885121686583,32.73808629809017
avoidance,2.A,Dispatch Squad,3.5431318681318684,2.328141788766789,4.993066239316237
avoidance,2.B,Mortar Strike,6.460027320747134,4.816997283761989,8.36412444570823
avoidance,2.C,Carpet Bomb,6.877259157251417,5.520964868071097,8.367994077681576
avoidance,2.D,Nuclear Strike,8.625668106976155,7.0594748247824874,10.399535061386848
avoidance,3.A,Req. for Weapon,4.402183301448008,3.053702454952455,5.771975620376354
avoidance,3.B,Req. for Nuclear,4.433272430756951,3.0961927978210873,5.954685282503586
avoidance,3.C,Req. for Assistance,7.580725679835588,5.015711741567972,10.596535543310893
avoidance,3.D,Chat w/ civilians,1.442400905481401,0.7001058201058205,2.367049822740612
avoidance,4.A,Tac. Analysis Low,3.600316764132553,2.1039513714842664,5.471604793233082
avoidance,4.B,Tac. Analysis Med.,13.327366798148532,11.410102707892952,15.309676827945013
avoidance,4.C,Tac. Analysis High,11.289582025301838,9.492658781742566,13.223990147530206
