goal,action,action_abbr,proportion_mean,ci_low,ci_high
approaching,1.A,Data Collection,19.99434340169634,17.683542601189657,22.34701673326673
approaching,2.A,Microbial Vaccines,10.11294163352987,8.432136899048665,11.761979984884393
approaching,2.B,Plant Gene Extracts,10.814676010264247,9.285903398072513,12.416854338471985
approaching,2.C,Anim. Gene Extracts,2.7977808139572846,1.7491821169027055,3.9389451887981295
approaching,2.D,Human Gene Editing,11.973467219055454,8.43099973963945,16.252439227439226
approaching,3.A,Req. for Experiment,0.06666666666666667,0.0,0.2
approaching,3.B,Req. for H.G.E,0.38717948717948725,0.13333333333333333,0.6641025641025642
approaching,3.C,Req. for Assistance,1.1206709956709955,0.5623376623376624,1.794193722943723
approaching,3.D,Chat w/ other RSRs.,3.5547442753325105,2.480381346594582,4.798228817750877
approaching,4.A,Meth. Analysis Low,5.763916475681182,4.029437229437229,7.86443595620066
approaching,4.B,Meth. Analysis Med.,17.929474120650593,15.702416676460796,20.409029148955614
approaching,4.C,Meth. Analysis High,15.48413890031537,12.872387383857971,18.254365201791664
avoidance,1.A,Data Collection,19.083361475126182,17.349309513199216,20.85261435786436
avoidance,2.A,Microbial Vaccines,14.014111835876543,12.530385419319243,15.458597186310415
avoidance,2.B,Plant Gene Extracts,11.013254098842335,9.518714299589298,12.54451737967914
avoidance,2.C,Anim. Gene Extracts,4.3658370714253065,3.163425621763856,5.654233691961632
avoidance,2.D,Human Gene Editing,10.163834629422862,8.368033668129256,12.092138867668282
avoidance,3.A,Req. for Experiment,0.5444444444444445,0.2333333333333333,0.9333333333333332
avoidance,3.B,Req. for H.G.E,1.6314425770308125,0.9608991596638656,2.34899019607843
avoidance,3.C,Req. for Assistance,1.862791783380019,1.1301330532212888,2.651232492997199
avoidance,3.D,Chat w/ other RSRs.,2.735151515151515,1.8597651515151519,3.688709595959596
avoidance,4.A,Meth. Analysis Low,3.9796392496392485,2.2411423160173163,6.134715728715727
avoidance,4.B,Meth. Analysis Med.,16.67617229176053,14.341986047449279,19.042256790595033
avoidance,4.C,Meth. Analysis High,13.929959027900203,11.612470752286928,16.460885838018186
