goal,action,action_abbr,proportion_mean,ci_low,ci_high
approaching,1.A,Drone Survey,15.00731738849386,13.239962696617111,16.69669565646771
approaching,2.A,Dispatch Squad,7.428743446096387,6.026834814695106,8.950717787114845
approaching,2.B,Mortar Strike,17.949081735258204,15.763173319327732,20.18367218810601
approaching,2.C,Carpet Bomb,7.108057351145586,5.894624358076565,8.469498366013077
approaching,2.D,Nuclear Strike,3.870023163111398,2.4687045940170944,5.399618930905694
approaching,3.A,Req. for Weapon,3.948454176542412,3.1060117296918768,4.819190332543269
approaching,3.B,Req. for Nuclear,0.5666666666666668,0.33333333333333326,0.8333333333333335
approaching,3.C,Req. for Assistance,6.105767973856209,4.440748774509804,8.211970588235294
approaching,3.D,Chat w/ civilians,0.7466666666666667,0.3666666666666667,1.1933333333333331
approaching,4.A,Tac. Analysis Low,3.508545751633987,2.4992197712418305,4.571395833333332
approaching,4.B,Tac. Analysis Med.,12.017291711556416,10.383090964590963,13.833361097644186
approaching,4.C,Tac. Analysis High,21.743383968972203,18.83535492530345,25.09326186885009
avoidance,1.A,Drone Survey,11.4211662591458,9.653339537877587,13.286039687614172
avoidance,2.A,Dispatch Squad,7.134441797900878,5.659501089454733,8.700154497835927
avoidance,2.B,Mortar Strike,12.519179282638364,10.924014439666612,14.132256215473925
avoidance,2.C,Carpet Bomb,5.992364097255401,4.964833290200137,7.134608781918562
avoidance,2.D,Nuclear Strike,5.487298737778276,3.9247897510453447,7.098247980351557
avoidance,3.A,Req. for Weapon,3.596591813983119,2.699936162870946,4.5539878629824235
avoidance,3.B,Req. for Nuclear,3.1136500754147813,2.3121794871794883,3.9356454248365997
avoidance,3.C,Req. for Assistance,11.775991751215537,10.007944081618156,13.71660803284524
avoidance,3.D,Chat w/ civilians,0.9,0.5,1.4
avoidance,4.A,Tac. Analysis Low,2.1222222222222222,1.2943055555555554,3.0947222222222206
avoidance,4.B,Tac. Analysis Med.,13.991335341271402,12.417073075049416,15.635511950041993
avoidance,4.C,Tac. Analysis High,21.945758621174217,18.95507749727539,24.959513936706237
