goal,action,action_abbr,proportion_mean,ci_low,ci_high
approaching,1.A,Drone Survey,10.627460448048682,9.364405292420004,11.986124692301162
approaching,2.A,Dispatch Squad,16.516304773657716,14.673122580034335,18.303441876750707
approaching,2.B,Mortar Strike,15.210594797359501,13.850232524828108,16.692368787258488
approaching,2.C,Carpet Bomb,12.172499559264264,11.113618803582039,13.239769319732554
approaching,2.D,Nuclear Strike,5.1477595933478275,3.8434748217468804,6.514637352027057
approaching,3.A,Req. for Weapon,1.1166666666666667,0.6666666666666669,1.6166666666666665
approaching,3.B,Req. for Nuclear,0.3666666666666667,0.16666666666666669,0.6000000000000002
approaching,3.C,Req. for Assistance,4.373015873015873,3.128878968253968,5.702420634920635
approaching,3.D,Chat w/ civilians,0.33333333333333337,0.06666666666666667,0.7
approaching,4.A,Tac. Analysis Low,7.01511544011544,4.846712662337664,9.312445887445886
approaching,4.B,Tac. Analysis Med.,9.032622932622933,7.952349386724387,10.166922175047178
approaching,4.C,Tac. Analysis High,18.087959915901095,16.36270703153056,19.93546892241745
avoidance,1.A,Drone Survey,11.42253245120892,10.007615505409628,12.937886353842238
avoidance,2.A,Dispatch Squad,14.99583219068513,12.982237378634434,17.188145398310827
avoidance,2.B,Mortar Strike,15.808872091960327,13.923319564422505,17.853578341593046
avoidance,2.C,Carpet Bomb,10.063746629187804,8.59617283247798,11.673510229558026
avoidance,2.D,Nuclear Strike,4.81178584487408,3.7002596851677723,6.036769213221419
avoidance,3.A,Req. for Weapon,1.8625,1.0625,2.8584375
avoidance,3.B,Req. for Nuclear,1.7844988344988348,1.0780594405594406,2.5933741258741247
avoidance,3.C,Req. for Assistance,7.672795668383904,5.881020325671059,9.725117878445081
avoidance,3.D,Chat w/ civilians,0.6625,0.19583333333333333,1.2916666666666665
avoidance,4.A,Tac. Analysis Low,4.625631313131313,3.221445707070706,6.331126893939391
avoidance,4.B,Tac. Analysis Med.,8.865631998720234,7.73834453740704,9.975518058330564
avoidance,4.C,Tac. Analysis High,17.423672977349447,14.792200367034926,20.04124851455734
