goal,action,action_abbr,proportion_mean,ci_low,ci_high
approaching,1.A,Drone Survey,22.86505994005994,20.943292818292825,24.74195346320346
approaching,2.A,Dispatch Squad,23.706809856809855,20.40676975801976,26.55572351259851
approaching,2.B,Mortar Strike,16.180866355866357,13.702217920967918,18.541005244755244
approaching,2.C,Carpet Bomb,14.069297369297368,12.5843768037518,15.69979853479853
approaching,2.D,Nuclear Strike,17.564596514596513,16.15729791042291,18.970672799422804
approaching,3.A,Req. for Weapon,1.3820818070818068,0.6122718253968253,2.325066391941391
approaching,3.B,Req. for Nuclear,0.2380952380952381,0.0,0.5428571428571428
approaching,3.C,Req. for Assistance,0.1,0.0,0.3
approaching,3.D,Chat w/ civilians,0.0,0.0,0.0
approaching,4.A,Tac. Analysis Low,0.9396825396825396,0.2873015873015873,1.7476190476190476
approaching,4.B,Tac. Analysis Med.,2.7868437118437117,1.6682142857142856,4.059558913308913
approaching,4.C,Tac. Analysis High,0.16666666666666663,0.0,0.49999999999999994
avoidance,1.A,Drone Survey,26.507951607216313,23.501349477728148,29.891765422077906
avoidance,2.A,Dispatch Squad,18.18961855138326,15.723256779984725,20.789186483451193
avoidance,2.B,Mortar Strike,24.49361398405516,21.340127668491636,27.69314320483437
avoidance,2.C,Carpet Bomb,8.28044675912323,6.984970515595518,9.608603722666224
avoidance,2.D,Nuclear Strike,11.164743997832234,9.700071829722564,12.608630501443002
avoidance,3.A,Req. for Weapon,0.640909090909091,0.20546717171717185,1.2
avoidance,3.B,Req. for Nuclear,0.9291666666666667,0.09583333333333334,2.2625000000000006
avoidance,3.C,Req. for Assistance,0.9424963924963925,0.38885010822510835,1.599206349206349
avoidance,3.D,Chat w/ civilians,0.0,0.0,0.0
avoidance,4.A,Tac. Analysis Low,0.7746031746031745,0.17619047619047618,1.5190873015873012
avoidance,4.B,Tac. Analysis Med.,6.6537225029872085,5.116701572528778,8.34561475697505
avoidance,4.C,Tac. Analysis High,1.4227272727272726,0.5983143939393943,2.3303219696969695
