goal,action,action_abbr,proportion_mean,ci_low,ci_high
approaching,1.A,Data Collection,16.405003214612748,14.552908494621217,18.21455400871666
approaching,2.A,Microbial Vaccines,14.833587845555389,13.445916920160075,16.2498507295471
approaching,2.B,Plant Gene Extracts,12.824761521440019,11.379786203626214,14.278601036880062
approaching,2.C,Anim. Gene Extracts,10.464099555504221,9.137581357325908,11.837837369062644
approaching,2.D,Human Gene Editing,10.095968089832187,7.6975550873934475,12.908365499865235
approaching,3.A,Req. for Experiment,0.1,0.0,0.3
approaching,3.B,Req. for H.G.E,2.3401515151515153,1.606799242424242,3.191988636363635
approaching,3.C,Req. for Assistance,4.445983853311438,3.3682378899835803,5.569854782430213
approaching,3.D,Chat w/ other RSRs.,3.4271886638265943,2.5058997300592125,4.429641750730111
approaching,4.A,Meth. Analysis Low,0.30000000000000004,0.1,0.5666666666666667
approaching,4.B,Meth. Analysis Med.,11.228136496138523,9.677546395808948,12.826689031964762
approaching,4.C,Meth. Analysis High,13.535119244627356,11.459017974011001,15.723908538990306
avoidance,1.A,Data Collection,17.117121767121766,15.848626096126097,18.457215007215
avoidance,2.A,Microbial Vaccines,14.429254079254076,12.629321719946718,16.276674575424572
avoidance,2.B,Plant Gene Extracts,12.520646020646023,10.876124916749916,14.205915681540684
avoidance,2.C,Anim. Gene Extracts,10.500371850371849,9.019782647907645,11.928776154401152
avoidance,2.D,Human Gene Editing,11.481360306360305,9.849209956709954,13.142288336663334
avoidance,3.A,Req. for Experiment,0.5936868686868686,0.1775000000000005,1.09655303030303
avoidance,3.B,Req. for H.G.E,2.2333333333333334,1.4333333333333331,3.066666666666667
avoidance,3.C,Req. for Assistance,3.6884670884670885,2.5782779720279723,4.87518065268065
avoidance,3.D,Chat w/ other RSRs.,1.9977272727272726,1.1666666666666667,2.947897727272726
avoidance,4.A,Meth. Analysis Low,0.75,0.36666666666666664,1.2
avoidance,4.B,Meth. Analysis Med.,12.447269397269396,10.907319832944836,14.090565129315129
avoidance,4.C,Meth. Analysis High,12.240762015762016,10.332746212121211,14.01295454545454
