goal,action,action_abbr,proportion_mean,ci_low,ci_high
approaching,1.A,Drone Survey,20.230472812361356,18.719573540494583,21.690115661772015
approaching,2.A,Dispatch Squad,4.781971683287472,3.772237554112554,5.899446200729095
approaching,2.B,Mortar Strike,8.989069057877106,7.912979980545773,9.99241352193558
approaching,2.C,Carpet Bomb,7.132736604640628,6.12962913462527,8.154043147899573
approaching,2.D,Nuclear Strike,3.1915278134318386,2.108158782007466,4.466878630915006
approaching,3.A,Req. for Weapon,2.376984126984127,1.5872023809523812,3.310436507936507
approaching,3.B,Req. for Nuclear,1.6438403701561597,1.0999999999999999,2.2102626759205717
approaching,3.C,Req. for Assistance,13.971698356682875,12.248605604921394,15.756128984319767
approaching,3.D,Chat w/ civilians,9.64542767174346,7.668304655870444,11.647538156288151
approaching,4.A,Tac. Analysis Low,1.6726190476190477,1.0333333333333332,2.330952380952381
approaching,4.B,Tac. Analysis Med.,7.7359304867818794,6.754289403192269,8.791166672165124
approaching,4.C,Tac. Analysis High,18.627721968434045,17.05242996511572,20.199714829374276
avoidance,1.A,Drone Survey,15.862745591729977,14.317979804171161,17.370690559381412
avoidance,2.A,Dispatch Squad,5.050828657515291,3.994875261664196,6.110380135533169
avoidance,2.B,Mortar Strike,7.944573752576177,6.769080964277282,9.050670375623731
avoidance,2.C,Carpet Bomb,9.20916139922904,8.224350629441155,10.237459519380872
avoidance,2.D,Nuclear Strike,4.518096574783208,3.376977388125465,5.755555992694443
avoidance,3.A,Req. for Weapon,1.876812947401183,1.1995401493930904,2.6509889511360103
avoidance,3.B,Req. for Nuclear,4.195356277522451,3.2239641523085205,5.215301420911612
avoidance,3.C,Req. for Assistance,16.038284978832156,14.37978214664966,17.965536142946878
avoidance,3.D,Chat w/ civilians,9.477725665075916,7.533217900137655,11.602984158604615
avoidance,4.A,Tac. Analysis Low,1.6393757642899518,0.982037298106377,2.4049921603525726
avoidance,4.B,Tac. Analysis Med.,8.899145155831789,7.308205722142196,10.58594474481076
avoidance,4.C,Tac. Analysis High,15.287893235212861,13.671173274264287,16.811638207822252
