goal,action,action_abbr,proportion_mean,ci_low,ci_high
approaching,1.A,Data Collection,26.532382486794248,24.20457357185299,28.825663352170704
approaching,2.A,Microbial Vaccines,14.26907463451581,12.341198937908496,16.130605356653145
approaching,2.B,Plant Gene Extracts,4.2358792351439405,2.9718534590409584,5.575707521645021
approaching,2.C,Anim. Gene Extracts,3.9275703055114817,2.798524820767467,5.123455747683687
approaching,2.D,Human Gene Editing,20.768851818116524,17.014078029813327,24.883791975997852
approaching,3.A,Req. for Experiment,0.0,0.0,0.0
approaching,3.B,Req. for H.G.E,0.17549019607843136,0.0,0.42647058823529416
approaching,3.C,Req. for Assistance,2.2441191977956683,1.2509122740005094,3.3245762897233484
approaching,3.D,Chat w/ other RSRs.,0.9979908979908978,0.4004329004329004,1.7377636252636246
approaching,4.A,Meth. Analysis Low,5.848145318733552,3.4183626708259074,8.769819571768094
approaching,4.B,Meth. Analysis Med.,15.304452573570222,13.378501188354127,17.19677400214164
approaching,4.C,Meth. Analysis High,5.696043335749218,4.182537425809483,7.295122230710467
avoidance,1.A,Data Collection,28.723737373737375,27.116585497835494,30.375303030303026
avoidance,2.A,Microbial Vaccines,18.551551226551226,16.89710317460318,20.268669733044725
avoidance,2.B,Plant Gene Extracts,1.2977272727272726,0.533314393939394,2.3099053030303027
avoidance,2.C,Anim. Gene Extracts,6.569949494949495,5.073998015873015,8.181493506493505
avoidance,2.D,Human Gene Editing,16.49790764790765,14.574273088023089,18.407454004329004
avoidance,3.A,Req. for Experiment,0.2222222222222222,0.0,0.5555555555555556
avoidance,3.B,Req. for H.G.E,0.18253968253968253,0.0,0.4761904761904762
avoidance,3.C,Req. for Assistance,1.7115440115440115,0.949186507936508,2.5849603174603173
avoidance,3.D,Chat w/ other RSRs.,1.4432539682539685,0.7042162698412702,2.308740079365079
avoidance,4.A,Meth. Analysis Low,7.557106782106781,5.688434343434342,9.386998556998556
avoidance,4.B,Meth. Analysis Med.,14.344408369408368,12.388352272727278,16.172546897546894
avoidance,4.C,Meth. Analysis High,2.8980519480519473,1.8404689754689754,4.063751803751804
