goal,action,action_abbr,proportion_mean,ci_low,ci_high
approaching,1.A,Drone Survey,22.433071314650256,21.133259569377977,23.86711484056879
approaching,2.A,Dispatch Squad,5.4039413802571685,4.111751253132831,6.712408516191408
approaching,2.B,Mortar Strike,12.831052134999505,11.482271540593901,14.149186438561435
approaching,2.C,Carpet Bomb,11.76701719333298,10.661023369904951,12.935119854560638
approaching,2.D,Nuclear Strike,11.224185025500814,9.763757397573185,12.888255096511674
approaching,3.A,Req. for Weapon,2.1946626472942263,1.3741541791541794,3.1202668530300115
approaching,3.B,Req. for Nuclear,0.16666666666666669,0.03333333333333333,0.36666666666666664
approaching,3.C,Req. for Assistance,6.172208347208348,4.316619769119769,8.207813714063716
approaching,3.D,Chat w/ civilians,0.7634310134310134,0.34353021978021986,1.3055921855921853
approaching,4.A,Tac. Analysis Low,8.206083682399472,6.8194548470535326,9.748018713742395
approaching,4.B,Tac. Analysis Med.,14.160307236623028,12.758860835801629,15.562971378037165
approaching,4.C,Tac. Analysis High,4.677373357636515,3.438394660894662,5.9425780834662385
avoidance,1.A,Drone Survey,16.886383613843567,15.694100856555092,18.146369665723928
avoidance,2.A,Dispatch Squad,4.40705291720738,3.2535962229354665,5.5150782145168575
avoidance,2.B,Mortar Strike,9.726752033245168,8.196915608149162,11.212761117839062
avoidance,2.C,Carpet Bomb,12.077525500179961,10.933179575874805,13.179302391766639
avoidance,2.D,Nuclear Strike,12.799893921232592,11.50825459151832,14.109317279942276
avoidance,3.A,Req. for Weapon,1.227803657694962,0.5404964630779848,2.0564296497584538
avoidance,3.B,Req. for Nuclear,0.8199295587453483,0.34427930622009567,1.3704598617756512
avoidance,3.C,Req. for Assistance,12.580046748954071,10.762894404572036,14.505511530803293
avoidance,3.D,Chat w/ civilians,2.414097744360902,1.067733395989975,4.068666979949873
avoidance,4.A,Tac. Analysis Low,9.28295458673033,7.740635063036376,10.774404767064237
avoidance,4.B,Tac. Analysis Med.,12.537983463269505,11.06031960459449,14.021344610290548
avoidance,4.C,Tac. Analysis High,5.239576254536209,3.8865656101303987,6.684706568380765
