goal,action,action_abbr,proportion_mean,ci_low,ci_high
approaching,1.A,Data Collection,18.479857943988378,16.618563172938174,20.405212233418755
approaching,2.A,Microbial Vaccines,8.31803148542279,6.690453369094675,10.02704370810349
approaching,2.B,Plant Gene Extracts,12.5847748869488,11.106629813423291,14.088667890080934
approaching,2.C,Anim. Gene Extracts,8.416865984257289,6.833470575318401,9.986047979797977
approaching,2.D,Human Gene Editing,17.088294555685856,12.973157153836503,21.601193932878715
approaching,3.A,Req. for Experiment,0.0,0.0,0.0
approaching,3.B,Req. for H.G.E,1.2,0.7666666666666666,1.7000000000000002
approaching,3.C,Req. for Assistance,1.276190476190476,0.6000000000000001,2.0761904761904755
approaching,3.D,Chat w/ other RSRs.,5.105237274802493,3.586754030993163,6.7684382284382245
approaching,4.A,Meth. Analysis Low,1.2277777777777776,0.5333333333333334,2.1112499999999987
approaching,4.B,Meth. Analysis Med.,17.49684289140811,15.086218826463393,19.874849308300394
approaching,4.C,Meth. Analysis High,8.806126723518027,7.027338334974202,10.685975555241855
avoidance,1.A,Data Collection,23.365485739750444,22.191764546727786,24.56967659791189
avoidance,2.A,Microbial Vaccines,14.708862787539255,13.386528096086915,16.185696858288775
avoidance,2.B,Plant Gene Extracts,10.241099015363723,9.285893148926238,11.191239018334603
avoidance,2.C,Anim. Gene Extracts,8.42555067481538,7.20649605296664,9.634176215940926
avoidance,2.D,Human Gene Editing,2.7242095322977677,1.7123039215686278,3.7562639790764782
avoidance,3.A,Req. for Experiment,0.0,0.0,0.0
avoidance,3.B,Req. for H.G.E,3.458823529411765,2.833333333333333,4.1
avoidance,3.C,Req. for Assistance,4.941399286987522,3.7000000000000006,6.20681818181818
avoidance,3.D,Chat w/ other RSRs.,6.881222943722945,5.441078192640694,8.476034902597403
avoidance,4.A,Meth. Analysis Low,1.630952380952381,1.0666666666666667,2.3404761904761906
avoidance,4.B,Meth. Analysis Med.,13.037142432730668,11.776056945505474,14.303349567099565
avoidance,4.C,Meth. Analysis High,10.585251676428147,9.234678189457606,12.038529093455564
