goal,action,action_abbr,proportion_mean,ci_low,ci_high
approaching,1.A,Drone Survey,20.472655122655123,18.93950577200577,21.917932900432902
approaching,2.A,Dispatch Squad,6.500234487734487,5.4428237734487706,7.504451659451661
approaching,2.B,Mortar Strike,10.415512265512264,9.49901515151515,11.403482142857145
approaching,2.C,Carpet Bomb,11.64292929292929,10.45636093073593,12.84624368686868
approaching,2.D,Nuclear Strike,1.2192821067821067,0.5773768939393937,1.9654076479076452
approaching,3.A,Req. for Weapon,0.3357142857142857,0.13333333333333333,0.6000595238095235
approaching,3.B,Req. for Nuclear,1.9333333333333331,1.4999999999999998,2.4000000000000004
approaching,3.C,Req. for Assistance,13.16531385281385,11.55780438311688,14.900891504329005
approaching,3.D,Chat w/ civilians,1.65,0.7166666666666669,2.8504166666666646
approaching,4.A,Tac. Analysis Low,4.070075757575758,3.107282196969697,5.094356060606059
approaching,4.B,Tac. Analysis Med.,13.361940836940837,12.377233044733044,14.319559884559876
approaching,4.C,Tac. Analysis High,15.233008658008655,13.62344696969697,16.936788419913416
avoidance,1.A,Drone Survey,17.629030790034847,16.15793329754537,19.023092108196064
avoidance,2.A,Dispatch Squad,4.583651648103981,3.6709537183573686,5.5676232688035405
avoidance,2.B,Mortar Strike,7.645596408324604,6.585170783830773,8.692439355494631
avoidance,2.C,Carpet Bomb,9.213947740900073,8.271653259336455,10.199510366591376
avoidance,2.D,Nuclear Strike,4.143718375944542,3.029764581893765,5.319162594082725
avoidance,3.A,Req. for Weapon,0.676923076923077,0.33333333333333337,1.1205128205128205
avoidance,3.B,Req. for Nuclear,4.4660216473857455,3.7332341269841254,5.250550135505128
avoidance,3.C,Req. for Assistance,18.109106675384563,16.111221737258123,20.177724016883502
avoidance,3.D,Chat w/ civilians,4.978174603174603,3.199930555555556,7.142063492063491
avoidance,4.A,Tac. Analysis Low,3.3841269841269837,2.4761607142857143,4.390664682539681
avoidance,4.B,Tac. Analysis Med.,10.770629781532419,9.69414838647661,11.917555092107577
avoidance,4.C,Tac. Analysis High,14.39907226816456,13.011216434849803,15.807519688799484
