goal,action,action_abbr,proportion_mean,ci_low,ci_high
approaching,1.A,Data Collection,15.008730542519606,12.707656656418916,17.45640370995998
approaching,2.A,Microbial Vaccines,10.445461959048801,8.628154769986194,12.433367336155458
approaching,2.B,Plant Gene Extracts,9.099499381995168,7.596154651015229,10.676079482063141
approaching,2.C,Anim. Gene Extracts,9.19314116351507,7.485289596055749,11.072841504399921
approaching,2.D,Human Gene Editing,19.322545073095803,15.00245543025458,24.44799249530291
approaching,3.A,Req. for Experiment,2.9570667732846703,1.9290952372211627,4.142659169438153
approaching,3.B,Req. for H.G.E,1.698237510808702,1.1324460040116064,2.2989716856444122
approaching,3.C,Req. for Assistance,5.868488938125347,4.596741552391934,7.248412289941505
approaching,3.D,Chat w/ other RSRs.,3.2934896726612903,2.3295961205401245,4.351310197877417
approaching,4.A,Meth. Analysis Low,2.6844557743320627,1.739913196969761,3.852059016345096
approaching,4.B,Meth. Analysis Med.,12.241589862728828,10.17441171868715,14.52199267176652
approaching,4.C,Meth. Analysis High,8.187293347884646,6.547552880800545,9.856363638209741
avoidance,1.A,Data Collection,24.659705744032365,22.43660126036674,26.870554250208848
avoidance,2.A,Microbial Vaccines,6.4004220624576655,4.917455616171753,8.047251402815448
avoidance,2.B,Plant Gene Extracts,5.597439445659259,4.237954346350245,7.170125751441543
avoidance,2.C,Anim. Gene Extracts,10.176423838459442,8.20970222373086,12.299122359730912
avoidance,2.D,Human Gene Editing,19.842244640464454,17.209763223854747,22.521100333382645
avoidance,3.A,Req. for Experiment,1.774284311319915,1.1564351435887814,2.4858690087647126
avoidance,3.B,Req. for H.G.E,2.262269425620819,1.569166329886144,3.002926994101527
avoidance,3.C,Req. for Assistance,5.4295823028021175,4.064935039375827,6.924762968262386
avoidance,3.D,Chat w/ other RSRs.,2.3779228511426656,1.6704058798099044,3.1489349628484677
avoidance,4.A,Meth. Analysis Low,2.095020154424179,1.3103841460826753,2.889788476380001
avoidance,4.B,Meth. Analysis Med.,8.368356029075843,6.62882059461007,10.210870338274557
avoidance,4.C,Meth. Analysis High,11.01632919454127,9.065031471581394,12.939399266991181
