goal,action,action_abbr,proportion_mean,ci_low,ci_high
approaching,1.A,Data Collection,8.77852313378629,7.145641945773525,10.467137186643763
approaching,2.A,Microbial Vaccines,5.597552350183928,4.462511282577071,6.8326811285692814
approaching,2.B,Plant Gene Extracts,5.147301723617512,4.141754908103592,6.232117059962452
approaching,2.C,Anim. Gene Extracts,13.14370532002111,11.521990704836101,14.798665200540198
approaching,2.D,Human Gene Editing,15.926931353247143,14.01207657839237,17.827702180860076
approaching,3.A,Req. for Experiment,0.2328703703703704,0.0625,0.4662847222222217
approaching,3.B,Req. for H.G.E,2.83916079047658,1.954181430776826,3.8480925275991056
approaching,3.C,Req. for Assistance,2.5622737885895783,1.8054741901616906,3.3504241822991823
approaching,3.D,Chat w/ other RSRs.,1.1980130493288388,0.7387089171793119,1.7335514217751056
approaching,4.A,Meth. Analysis Low,1.8551808814966708,1.0955008971291869,2.7449858231437165
approaching,4.B,Meth. Analysis Med.,25.470094987858147,23.53865300878459,27.590454211967376
approaching,4.C,Meth. Analysis High,17.24839225102383,15.591973479736637,18.854165688113053
avoidance,1.A,Data Collection,14.78223392161259,13.926249103070791,15.617953686467947
avoidance,2.A,Microbial Vaccines,9.36515090134472,8.529998200491283,10.148592622795846
avoidance,2.B,Plant Gene Extracts,8.005406851342315,7.203732382321484,8.728113219391105
avoidance,2.C,Anim. Gene Extracts,10.507787803723268,9.683430718088154,11.394044488484834
avoidance,2.D,Human Gene Editing,8.878162962146094,7.917105926356748,9.86696395512027
avoidance,3.A,Req. for Experiment,0.6350920023181686,0.3494771563797933,0.9742860523519752
avoidance,3.B,Req. for H.G.E,5.055810592293724,4.171721115593953,5.8980383765975155
avoidance,3.C,Req. for Assistance,7.506415934663773,6.560466343700871,8.395791184179245
avoidance,3.D,Chat w/ other RSRs.,4.028541472524605,3.2330325318608653,4.867558405684413
avoidance,4.A,Meth. Analysis Low,3.0791061617705684,2.2489635645794364,3.94039304933261
avoidance,4.B,Meth. Analysis Med.,16.540698287247075,15.424090663056413,17.645589146099095
avoidance,4.C,Meth. Analysis High,11.615593109013094,10.697165436322368,12.51522442594385
