goal,action,action_abbr,proportion_mean,ci_low,ci_high
approaching,1.A,Drone Survey,15.916562007202772,15.05259268051325,16.8289883299258
approaching,2.A,Dispatch Squad,10.952456589106482,9.734193830463447,12.218842571474758
approaching,2.B,Mortar Strike,7.555604127343779,6.679462018671056,8.46015746801208
approaching,2.C,Carpet Bomb,9.430011689677992,8.610595054080676,10.201636791452424
approaching,2.D,Nuclear Strike,7.205109499416026,6.337382699678014,8.092204959285493
approaching,3.A,Req. for Weapon,2.16493826979207,1.6387877086465683,2.701520058765447
approaching,3.B,Req. for Nuclear,3.195239351566339,2.609153240365205,3.7516736467972533
approaching,3.C,Req. for Assistance,9.917737908782835,9.009796987589743,10.891639187866389
approaching,3.D,Chat w/ civilians,4.953697374053597,3.982457103806452,5.913710257954456
approaching,4.A,Tac. Analysis Low,4.940508979163332,4.047493012804613,6.009924320901484
approaching,4.B,Tac. Analysis Med.,12.913970671335576,12.12412146935373,13.684692768943627
approaching,4.C,Tac. Analysis High,10.854163532559193,10.091112777729203,11.566750252924992
avoidance,1.A,Drone Survey,15.981773862345605,15.13142488373602,16.884045995176994
avoidance,2.A,Dispatch Squad,9.138523675364434,8.03018526297572,10.262641059298533
avoidance,2.B,Mortar Strike,8.1526730240191,7.20999822782137,9.087305387713457
avoidance,2.C,Carpet Bomb,10.204765975786975,9.432914974978615,11.041642154349777
avoidance,2.D,Nuclear Strike,8.845385853620812,8.204232459728171,9.49279504547441
avoidance,3.A,Req. for Weapon,0.7607899094892633,0.41409837701502966,1.142507856565519
avoidance,3.B,Req. for Nuclear,5.83359209182705,5.042677256529607,6.631554060027406
avoidance,3.C,Req. for Assistance,11.238977727227827,10.333015617831604,12.222094394122161
avoidance,3.D,Chat w/ civilians,2.7244117838309516,1.9610673785484491,3.5084296533938955
avoidance,4.A,Tac. Analysis Low,3.1307027151218834,2.256136453210419,4.061616798986187
avoidance,4.B,Tac. Analysis Med.,13.862233913130735,12.970162017452823,14.775747744066372
avoidance,4.C,Tac. Analysis High,10.126169468235359,9.254110487000696,10.95291094388647
